Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
Bradford Bulls,,United Kingdom,Jack,Beames,1890-03-01,01/01/1970,male,Aberbeeg,Halifax,,,Bradford Bulls,,Y Deyrnas Unedig,Jack,Beames,1890-03-01,01/01/1970,gwryw,Aber-y-bedd,Halifax
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Jack,Beames,1890-03-01,01/01/1970,male,Aberbeeg,Halifax,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Jack,Beames,1890-03-01,01/01/1970,gwryw,Aber-y-bedd,Halifax
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Jack,Beames,1890-03-01,01/01/1970,male,Aberbeeg,Halifax,,,Tîm rygbi cynghrair cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Jack,Beames,1890-03-01,01/01/1970,gwryw,Aber-y-bedd,Halifax
Halifax RLFC,,United Kingdom of Great Britain and Ireland,Jack,Beames,1890-03-01,01/01/1970,male,Aberbeeg,Halifax,,,Halifax RLFC,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Jack,Beames,1890-03-01,01/01/1970,gwryw,Aber-y-bedd,Halifax
Bradford Bulls,,United Kingdom of Great Britain and Ireland,Jack,Beames,1890-03-01,01/01/1970,male,Aberbeeg,Halifax,,,Bradford Bulls,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Jack,Beames,1890-03-01,01/01/1970,gwryw,Aber-y-bedd,Halifax
Wales national under-20 rugby union team,,Wales,Jack,Dixon,13/12/1994,,male,Newbridge,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Cymru,Jack,Dixon,13/12/1994,,gwryw,Trecelyn,
Dragons,,Wales,Jack,Dixon,13/12/1994,,male,Newbridge,,,,Y Dreigiau,,Cymru,Jack,Dixon,13/12/1994,,gwryw,Trecelyn,
Hull F.C.,,United Kingdom,Tommy,Harris,05/06/1927,27/09/2006,male,Crumlin,York,,,Clwb Pêl-droed Hull,,Y Deyrnas Unedig,Tommy,Harris,05/06/1927,27/09/2006,gwryw,Crymlyn,Efrog
Wales national rugby league team,,United Kingdom,Tommy,Harris,05/06/1927,27/09/2006,male,Crumlin,York,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,Tommy,Harris,05/06/1927,27/09/2006,gwryw,Crymlyn,Efrog
York City Knights,,United Kingdom,Tommy,Harris,05/06/1927,27/09/2006,male,Crumlin,York,,,York City Knights,,Y Deyrnas Unedig,Tommy,Harris,05/06/1927,27/09/2006,gwryw,Crymlyn,Efrog
Great Britain national rugby league team,,United Kingdom,Tommy,Harris,05/06/1927,27/09/2006,male,Crumlin,York,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Y Deyrnas Unedig,Tommy,Harris,05/06/1927,27/09/2006,gwryw,Crymlyn,Efrog
Newbridge RFC,,United Kingdom,Tommy,Harris,05/06/1927,27/09/2006,male,Crumlin,York,,,Clwb Rygbi Trecelyn ,,Y Deyrnas Unedig,Tommy,Harris,05/06/1927,27/09/2006,gwryw,Crymlyn,Efrog
Wales national rugby union team,fullback,Wales,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Cymru,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
London Welsh RFC,fullback,Wales,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Clwb Rygbi Cymry Llundain,cefnwr,Cymru,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Great Britain national rugby league team,fullback,Wales,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,cefnwr,Cymru,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Broughton Rangers,fullback,Wales,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Broughton Rangers,cefnwr,Cymru,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Oldham Roughyeds,fullback,Wales,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Oldham Roughyeds,cefnwr,Cymru,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Wales national rugby union team,fullback,United Kingdom,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Y Deyrnas Unedig,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
London Welsh RFC,fullback,United Kingdom,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Clwb Rygbi Cymry Llundain,cefnwr,Y Deyrnas Unedig,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Great Britain national rugby league team,fullback,United Kingdom,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,cefnwr,Y Deyrnas Unedig,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Broughton Rangers,fullback,United Kingdom,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Broughton Rangers,cefnwr,Y Deyrnas Unedig,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Oldham Roughyeds,fullback,United Kingdom,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Oldham Roughyeds,cefnwr,Y Deyrnas Unedig,Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
London Welsh RFC,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Clwb Rygbi Cymry Llundain,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Great Britain national rugby league team,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Broughton Rangers,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Broughton Rangers,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Oldham Roughyeds,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,22/08/1904,10/11/1968,male,Pontyclun,Oldham,,,Oldham Roughyeds,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Rees,22/08/1904,10/11/1968,gwryw,Pontyclun,Oldham
Wales national rugby union team,fullback,Wales,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Cymru,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
London Welsh RFC,fullback,Wales,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Clwb Rygbi Cymry Llundain,cefnwr,Cymru,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Huddersfield Giants,fullback,Wales,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Huddersfield Giants,cefnwr,Cymru,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Wales national rugby union team,fullback,United Kingdom,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Y Deyrnas Unedig,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
London Welsh RFC,fullback,United Kingdom,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Clwb Rygbi Cymry Llundain,cefnwr,Y Deyrnas Unedig,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Huddersfield Giants,fullback,United Kingdom,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Huddersfield Giants,cefnwr,Y Deyrnas Unedig,Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
London Welsh RFC,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Clwb Rygbi Cymry Llundain,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Huddersfield Giants,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,01/01/1909,14/02/1976,male,Pontypridd,Saskatoon,,,Huddersfield Giants,cefnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Tommy,Scourfield,01/01/1909,14/02/1976,gwryw,Pontypridd,Saskatoon
Monmouthshire County RFC,winger,Wales,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Clwb Rygbi Sir Fynwy ,asgellwr,Cymru,William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Newport RFC,winger,United Kingdom,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Clwb Rygbi Casnewydd,asgellwr,Y Deyrnas Unedig,William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Wales national rugby league team,winger,United Kingdom,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Tîm rygbi cynghrair cenedlaethol Cymru,asgellwr,Y Deyrnas Unedig,William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Monmouthshire County RFC,winger,United Kingdom,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Clwb Rygbi Sir Fynwy ,asgellwr,Y Deyrnas Unedig,William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Newport RFC,winger,United Kingdom of Great Britain and Ireland,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Clwb Rygbi Casnewydd,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Wales national rugby league team,winger,United Kingdom of Great Britain and Ireland,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Tîm rygbi cynghrair cenedlaethol Cymru,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Monmouthshire County RFC,winger,United Kingdom of Great Britain and Ireland,William,Williams,28/03/1925,27/12/2007,male,Abertillery,Telford,,,Clwb Rygbi Sir Fynwy ,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",William,Williams,28/03/1925,27/12/2007,gwryw,Abertyleri,Telford
Wales national rugby union team,,Wales,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,Cymru,Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Llanelli RFC,,Wales,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,Cymru,Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,Y Deyrnas Unedig,Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,Y Deyrnas Unedig,Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Llanelli RFC,,United Kingdom of Great Britain and Ireland,Nathaniel,Walters,1875-05-23,22/02/1956,male,Llanelli,Llanelli,,,Clwb Rygbi Llanelli,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Nathaniel,Walters,1875-05-23,22/02/1956,gwryw,Llanelli,Llanelli
Wales national rugby union team,flanker,Wales,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Cymru,Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Wales national rugby union team,flanker,United Kingdom,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Y Deyrnas Unedig,Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Swansea RFC,flanker,Wales,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Clwb Rygbi Abertawe ,blaenasgellwr,Cymru,Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Swansea RFC,flanker,United Kingdom,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Clwb Rygbi Abertawe ,blaenasgellwr,Y Deyrnas Unedig,Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Swansea RFC,flanker,United Kingdom of Great Britain and Ireland,Edgar,Long,01/01/1907,31/01/1958,male,Gower Peninsula,Swansea,,,Clwb Rygbi Abertawe ,blaenasgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Edgar,Long,01/01/1907,31/01/1958,gwryw,Penrhyn G?yr,Abertawe
Wales national rugby union team,centre,Wales,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm undeb rygbi cenedlaethol Cymru,Canolwr,Cymru,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Swansea RFC,centre,Wales,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Clwb Rygbi Abertawe ,Canolwr,Cymru,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Leeds Rhinos,centre,Wales,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Leeds Rhinos,Canolwr,Cymru,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wales national rugby league team,centre,Wales,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Cymru,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wakefield Trinity,centre,Wales,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Wakefield Trinity,Canolwr,Cymru,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wales national rugby union team,centre,United Kingdom,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm undeb rygbi cenedlaethol Cymru,Canolwr,Y Deyrnas Unedig,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Swansea RFC,centre,United Kingdom,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Clwb Rygbi Abertawe ,Canolwr,Y Deyrnas Unedig,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Leeds Rhinos,centre,United Kingdom,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Leeds Rhinos,Canolwr,Y Deyrnas Unedig,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wales national rugby league team,centre,United Kingdom,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,Y Deyrnas Unedig,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wakefield Trinity,centre,United Kingdom,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Wakefield Trinity,Canolwr,Y Deyrnas Unedig,Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm undeb rygbi cenedlaethol Cymru,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Swansea RFC,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Clwb Rygbi Abertawe ,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Leeds Rhinos,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Tîm rygbi cynghrair cenedlaethol Cymru,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Wakefield Trinity,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,27/01/1960,male,Pontardawe,Liverpool,,,Wakefield Trinity,Canolwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Joseph,Jones,1899-03-15,27/01/1960,gwryw,Pontardawe,Lerpwl
Halifax RLFC,fullback,Wales,,Griffiths,06/06/1919,01/01/1979,male,Bridgend,Leeds,,,Halifax RLFC,cefnwr,Cymru,,Griffiths,06/06/1919,01/01/1979,gwryw,Pen-y-bont ar Ogwr,Leeds
Hunslet Hawks,fullback,Wales,,Griffiths,06/06/1919,01/01/1979,male,Bridgend,Leeds,,,Hunslet Hawks,cefnwr,Cymru,,Griffiths,06/06/1919,01/01/1979,gwryw,Pen-y-bont ar Ogwr,Leeds
Wales national rugby league team,fullback,Wales,,Griffiths,06/06/1919,01/01/1979,male,Bridgend,Leeds,,,Tîm rygbi cynghrair cenedlaethol Cymru,cefnwr,Cymru,,Griffiths,06/06/1919,01/01/1979,gwryw,Pen-y-bont ar Ogwr,Leeds
Hull F.C.,,Wales,Thomas,Danter,01/12/1922,01/09/1980,male,Bridgend,,,,Clwb Pêl-droed Hull,,Cymru,Thomas,Danter,01/12/1922,01/09/1980,gwryw,Pen-y-bont ar Ogwr,
Wales national rugby league team,,Wales,Thomas,Danter,01/12/1922,01/09/1980,male,Bridgend,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Thomas,Danter,01/12/1922,01/09/1980,gwryw,Pen-y-bont ar Ogwr,
Glamorgan County Cricket Club,,Wales,Willie,Jones,31/10/1916,25/07/1996,male,Carmarthen,Gloucester,,,Criced Morgannwg,,Cymru,Willie,Jones,31/10/1916,25/07/1996,gwryw,Caerfyrddin,Caerloyw
Aberavon RFC,prop,Wales,Denzil,Jones,01/01/1926,25/12/2010,male,Merthyr Tydfil,Margam,,,Clwb Rygbi Aberafon,prop,Cymru,Denzil,Jones,01/01/1926,25/12/2010,gwryw,Merthyr Tudful,Margam
Wigan Warriors,prop,Wales,Denzil,Jones,01/01/1926,25/12/2010,male,Merthyr Tydfil,Margam,,,Wigan Warriors,prop,Cymru,Denzil,Jones,01/01/1926,25/12/2010,gwryw,Merthyr Tudful,Margam
Wales national rugby union team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Cymru,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Pontypool RFC,scrum-half,Wales,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Clwb Rygbi Pontyp?l,mewnwr,Cymru,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Halifax RLFC,scrum-half,Wales,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Halifax RLFC,mewnwr,Cymru,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Wales national rugby league team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm rygbi cynghrair cenedlaethol Cymru,mewnwr,Cymru,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Great Britain national rugby league team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,mewnwr,Cymru,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Wales national rugby union team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Y Deyrnas Unedig,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Pontypool RFC,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Clwb Rygbi Pontyp?l,mewnwr,Y Deyrnas Unedig,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Halifax RLFC,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Halifax RLFC,mewnwr,Y Deyrnas Unedig,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Wales national rugby league team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm rygbi cynghrair cenedlaethol Cymru,mewnwr,Y Deyrnas Unedig,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Great Britain national rugby league team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,mewnwr,Y Deyrnas Unedig,Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Wales national rugby union team,scrum-half,United Kingdom of Great Britain and Ireland,Bobby,Lloyd,1888-07-01,18/01/1930,male,Crickhowell,Halifax,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Bobby,Lloyd,1888-07-01,18/01/1930,gwryw,Crucywel,Halifax
Wales national rugby league team,hooker,Wales,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm rygbi cynghrair cenedlaethol Cymru,bachwr,Cymru,Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national rugby union team,hooker,Wales,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,Cymru,Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Salford Red Devils,hooker,United Kingdom,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Salford Red Devils,bachwr,Y Deyrnas Unedig,Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national rugby league team,hooker,United Kingdom,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm rygbi cynghrair cenedlaethol Cymru,bachwr,Y Deyrnas Unedig,Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national rugby union team,hooker,United Kingdom,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,Y Deyrnas Unedig,Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Salford Red Devils,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Salford Red Devils,bachwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national rugby league team,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm rygbi cynghrair cenedlaethol Cymru,bachwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,08/05/1908,27/06/1977,male,Griffithstown,Salford,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Hubert,Day,08/05/1908,27/06/1977,gwryw,Griffithstown,Salford
Wales national under-20 rugby union team,,Wales,Hugh,,08/07/1987,,male,Carmarthen,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,,Cymru,Hugh,,08/07/1987,,gwryw,Caerfyrddin,
Pontypool RFC,,Wales,Hugh,,08/07/1987,,male,Carmarthen,,,,Clwb Rygbi Pontyp?l,,Cymru,Hugh,,08/07/1987,,gwryw,Caerfyrddin,
