Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Broughton Rangers,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,1904-08-22,1968-11-10,male,Pontyclun,Oldham
Oldham Roughyeds,fullback,United Kingdom of Great Britain and Ireland,Tommy,Rees,1904-08-22,1968-11-10,male,Pontyclun,Oldham
Wales national rugby union team,fullback,Wales,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
London Welsh RFC,fullback,Wales,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Huddersfield Giants,fullback,Wales,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Wales national rugby union team,fullback,United Kingdom,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
London Welsh RFC,fullback,United Kingdom,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Huddersfield Giants,fullback,United Kingdom,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
London Welsh RFC,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Huddersfield Giants,fullback,United Kingdom of Great Britain and Ireland,Tommy,Scourfield,1909-01-01,1976-02-14,male,Pontypridd,Saskatoon
Monmouthshire County RFC,winger,Wales,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Newport RFC,winger,United Kingdom,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Wales national rugby league team,winger,United Kingdom,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Monmouthshire County RFC,winger,United Kingdom,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Newport RFC,winger,United Kingdom of Great Britain and Ireland,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Wales national rugby league team,winger,United Kingdom of Great Britain and Ireland,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Monmouthshire County RFC,winger,United Kingdom of Great Britain and Ireland,William,Williams,1925-03-28,2007-12-27,male,Abertillery,Telford
Wales national rugby union team,,Wales,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Llanelli RFC,,Wales,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom of Great Britain and Ireland,Nathaniel,Walters,1875-05-23,1956-02-22,male,Llanelli,Llanelli
Wales national rugby union team,flanker,Wales,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Wales national rugby union team,flanker,United Kingdom,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Swansea RFC,flanker,Wales,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Swansea RFC,flanker,United Kingdom,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Swansea RFC,flanker,United Kingdom of Great Britain and Ireland,Edgar,Long,1907-01-01,1958-01-31,male,Gower Peninsula,Swansea
Wales national rugby union team,centre,Wales,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Swansea RFC,centre,Wales,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Leeds Rhinos,centre,Wales,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wales national rugby league team,centre,Wales,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wakefield Trinity,centre,Wales,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wales national rugby union team,centre,United Kingdom,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Swansea RFC,centre,United Kingdom,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Leeds Rhinos,centre,United Kingdom,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wales national rugby league team,centre,United Kingdom,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wakefield Trinity,centre,United Kingdom,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Swansea RFC,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Wakefield Trinity,centre,United Kingdom of Great Britain and Ireland,Joseph,Jones,1899-03-15,1960-01-27,male,Pontardawe,Liverpool
Halifax RLFC,fullback,Wales,,Griffiths,1919-06-06,1979-01-01,male,Bridgend,Leeds
Hunslet Hawks,fullback,Wales,,Griffiths,1919-06-06,1979-01-01,male,Bridgend,Leeds
Wales national rugby league team,fullback,Wales,,Griffiths,1919-06-06,1979-01-01,male,Bridgend,Leeds
Hull F.C.,,Wales,Thomas,Danter,1922-12-01,1980-09-01,male,Bridgend,
Wales national rugby league team,,Wales,Thomas,Danter,1922-12-01,1980-09-01,male,Bridgend,
Glamorgan County Cricket Club,,Wales,Willie,Jones,1916-10-31,1996-07-25,male,Carmarthen,Gloucester
Aberavon RFC,prop,Wales,Denzil,Jones,1926-01-01,2010-12-25,male,Merthyr Tydfil,Margam
Wigan Warriors,prop,Wales,Denzil,Jones,1926-01-01,2010-12-25,male,Merthyr Tydfil,Margam
Wales national rugby union team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Pontypool RFC,scrum-half,Wales,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Halifax RLFC,scrum-half,Wales,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Wales national rugby league team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Great Britain national rugby league team,scrum-half,Wales,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Wales national rugby union team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Pontypool RFC,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Halifax RLFC,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Wales national rugby league team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Great Britain national rugby league team,scrum-half,United Kingdom,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Wales national rugby union team,scrum-half,United Kingdom of Great Britain and Ireland,Bobby,Lloyd,1888-07-01,1930-01-18,male,Crickhowell,Halifax
Wales national rugby league team,hooker,Wales,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national rugby union team,hooker,Wales,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Salford Red Devils,hooker,United Kingdom,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national rugby league team,hooker,United Kingdom,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national rugby union team,hooker,United Kingdom,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Salford Red Devils,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national rugby league team,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,Hubert,Day,1908-05-08,1977-06-27,male,Griffithstown,Salford
Wales national under-20 rugby union team,,Wales,Hugh,,1987-07-08,,male,Carmarthen,
Pontypool RFC,,Wales,Hugh,,1987-07-08,,male,Carmarthen,
Dragons,,Wales,Hugh,,1987-07-08,,male,Carmarthen,
Cambridge University RUFC,fullback,Wales,Hugh,Davies,1926-01-01,1986-01-01,male,Ammanford,Islington
Barrow Raiders,fullback,Wales,Hugh,Davies,1926-01-01,1986-01-01,male,Ammanford,Islington
Harlequin F.C.,fullback,Wales,Hugh,Davies,1926-01-01,1986-01-01,male,Ammanford,Islington
Wales national rugby league team,centre,Wales,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Leeds Rhinos,centre,Wales,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Swansea RFC,centre,Wales,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby union team,centre,Wales,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby league team,centre,United Kingdom,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Leeds Rhinos,centre,United Kingdom,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Swansea RFC,centre,United Kingdom,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby union team,centre,United Kingdom,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby league team,centre,United Kingdom of Great Britain and Ireland,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Swansea RFC,centre,United Kingdom of Great Britain and Ireland,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,,Davies,1915-11-10,1990-07-07,male,Llanelli,Llanelli
Wales national rugby league team,,Wales,,Fisher,1935-02-03,2012-01-05,male,Swansea,Lochmaben
Warrington Wolves,,Wales,,Fisher,1935-02-03,2012-01-05,male,Swansea,Lochmaben
Bradford Bulls,,Wales,,Fisher,1935-02-03,2012-01-05,male,Swansea,Lochmaben
Swansea RFC,,Wales,,Fisher,1935-02-03,2012-01-05,male,Swansea,Lochmaben
Wales national under-20 rugby union team,,Wales,Ieuan,Jones,1993-07-22,,male,Blackwood,
Dragons,,Wales,Ieuan,Jones,1993-07-22,,male,Blackwood,
Wales national rugby league team,scrum-half,Wales,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Batley Bulldogs,scrum-half,Wales,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Llanelli RFC,scrum-half,Wales,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Wales national rugby union team,scrum-half,Wales,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Wales national rugby league team,scrum-half,United Kingdom,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Batley Bulldogs,scrum-half,United Kingdom,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Llanelli RFC,scrum-half,United Kingdom,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Wales national rugby union team,scrum-half,United Kingdom,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Wales national rugby league team,scrum-half,United Kingdom of Great Britain and Ireland,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Batley Bulldogs,scrum-half,United Kingdom of Great Britain and Ireland,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Llanelli RFC,scrum-half,United Kingdom of Great Britain and Ireland,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Wales national rugby union team,scrum-half,United Kingdom of Great Britain and Ireland,Ike,Fowler,1894-08-27,1981-06-17,male,Pantyffynnon,Batley
Great Britain national rugby league team,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Wales national rugby league team,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Huddersfield Giants,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Castleford Tigers,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Leeds Rhinos,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Maesteg RFC,,Wales,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Great Britain national rugby league team,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Wales national rugby league team,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Huddersfield Giants,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Castleford Tigers,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Leeds Rhinos,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Maesteg RFC,,United Kingdom,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Huddersfield Giants,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Castleford Tigers,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Leeds Rhinos,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Maesteg RFC,,United Kingdom of Great Britain and Ireland,Ike,Owens,1918-11-07,1998-10-15,male,Pontycymer,
Glamorgan Police RFC,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby league team,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Penarth RFC,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Leeds Rhinos,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Cardiff RFC,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby union team,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Pontypridd RFC,flanker,Wales,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Glamorgan Police RFC,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby league team,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Penarth RFC,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Leeds Rhinos,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Cardiff RFC,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby union team,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Pontypridd RFC,flanker,United Kingdom,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Glamorgan Police RFC,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby league team,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Penarth RFC,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Leeds Rhinos,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Cardiff RFC,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
Pontypridd RFC,flanker,United Kingdom of Great Britain and Ireland,,,1911-10-12,1966-04-25,male,Cilfynydd,Wrexham
London Welsh RFC,hooker,Wales,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Wales national rugby union team,hooker,Wales,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Bedford Blues,hooker,Wales,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
London Welsh RFC,hooker,United Kingdom,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Wales national rugby union team,hooker,United Kingdom,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Bedford Blues,hooker,United Kingdom,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
London Welsh RFC,hooker,United Kingdom of Great Britain and Ireland,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Bedford Blues,hooker,United Kingdom of Great Britain and Ireland,,Evans,1906-05-23,1985-09-18,male,Trelewis,Bedford
Glamorgan Police RFC,fullback,Wales,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Penarth RFC,fullback,Wales,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Wales national rugby union team,fullback,Wales,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Barbarians,fullback,Wales,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Glamorgan Police RFC,fullback,United Kingdom,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Penarth RFC,fullback,United Kingdom,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Wales national rugby union team,fullback,United Kingdom,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
Barbarians,fullback,United Kingdom,Jack,Bassett,1905-07-11,1989-02-19,male,Trebanog,Cardiff
England national rugby league team,,United Kingdom,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Great Britain national rugby league team,,United Kingdom,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Treorchy RFC,,United Kingdom,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Cardiff RFC,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
St Helens RLFC,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Wigan Warriors,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Keighley Cougars,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Salford Red Devils,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
England national rugby league team,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Treorchy RFC,,United Kingdom of Great Britain and Ireland,Emlyn,Jenkins,1910-12-01,1993-01-01,male,Treherbert,Andover
Wigan Warriors,flanker,Wales,,Evans,1911-04-24,1983-06-23,male,Gwaun-Cae-Gurwen,Bristol
Llanelli RFC,flanker,Wales,,Evans,1911-04-24,1983-06-23,male,Gwaun-Cae-Gurwen,Bristol
Wales national rugby league team,flanker,Wales,,Evans,1911-04-24,1983-06-23,male,Gwaun-Cae-Gurwen,Bristol
Salford Red Devils,flanker,Wales,,Evans,1911-04-24,1983-06-23,male,Gwaun-Cae-Gurwen,Bristol
Wales national rugby union team,flanker,Wales,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby league team,flanker,Wales,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby union team,flanker,United Kingdom,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby league team,flanker,United Kingdom,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby league team,flanker,United Kingdom of Great Britain and Ireland,Ernie,Jenkins,1880-09-20,1958-07-18,male,Upper Cwmbran,Newport
Wales national rugby union team,,Wales,Evan,Roberts,1861-09-19,1927-10-16,male,Llanelli,Llanelli
Llanelli RFC,,Wales,Evan,Roberts,1861-09-19,1927-10-16,male,Llanelli,Llanelli
Wales national rugby union team,,United Kingdom,Evan,Roberts,1861-09-19,1927-10-16,male,Llanelli,Llanelli
Llanelli RFC,,United Kingdom,Evan,Roberts,1861-09-19,1927-10-16,male,Llanelli,Llanelli
Warrington Wolves,,Wales,Evan,Watkins,1882-01-01,1956-01-01,male,Merthyr Tydfil,Cardiff
Abertillery RFC,,Wales,Evan,Watkins,1882-01-01,1956-01-01,male,Merthyr Tydfil,Cardiff
Aberavon RFC,centre,Wales,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Wales national rugby union team,centre,Wales,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Leeds Rhinos,centre,Wales,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Aberavon RFC,centre,United Kingdom,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Wales national rugby union team,centre,United Kingdom,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Leeds Rhinos,centre,United Kingdom,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Aberavon RFC,centre,United Kingdom of Great Britain and Ireland,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Wales national rugby union team,centre,United Kingdom of Great Britain and Ireland,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Leeds Rhinos,centre,United Kingdom of Great Britain and Ireland,Evan,Williams,1906-06-18,1976-11-18,male,Port Talbot,Leeds
Wales national rugby league team,,Wales,,Hawkins,1920-06-26,2001-12-17,male,Llanharan,
Salford Red Devils,,Wales,,Hawkins,1920-06-26,2001-12-17,male,Llanharan,
Wales national rugby union team,flanker,Wales,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Pontypool RFC,flanker,Wales,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Hunslet Hawks,flanker,Wales,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Wales national rugby union team,flanker,United Kingdom,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Pontypool RFC,flanker,United Kingdom,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Hunslet Hawks,flanker,United Kingdom,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Pontypool RFC,flanker,United Kingdom of Great Britain and Ireland,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Hunslet Hawks,flanker,United Kingdom of Great Britain and Ireland,Frank,Andrews,1886-02-14,1944-11-22,male,Wales,Leeds
Wales national rugby union team,winger,Wales,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Llanelli RFC,winger,Wales,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Wales national rugby union team,winger,United Kingdom,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Llanelli RFC,winger,United Kingdom,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Llanelli RFC,winger,United Kingdom of Great Britain and Ireland,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Dragons,,Wales,Tom,Riley,1985-05-04,,male,"Graig, Pontypridd",
Pontypridd RFC,,Wales,Tom,Riley,1985-05-04,,male,"Graig, Pontypridd",
Cornish Pirates,,Wales,Tom,Riley,1985-05-04,,male,"Graig, Pontypridd",
Cardiff RFC,,Wales,Tom,Williams,1991-04-02,,male,Bridgend,
Hull F.C.,,Wales,Tommy,Harris,1927-06-05,2006-09-27,male,Crumlin,York
Wales national rugby league team,,Wales,Tommy,Harris,1927-06-05,2006-09-27,male,Crumlin,York
York City Knights,,Wales,Tommy,Harris,1927-06-05,2006-09-27,male,Crumlin,York
Great Britain national rugby league team,,Wales,Tommy,Harris,1927-06-05,2006-09-27,male,Crumlin,York
Newbridge RFC,,Wales,Tommy,Harris,1927-06-05,2006-09-27,male,Crumlin,York
Wales national rugby league team,flanker,Wales,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wales national rugby union team,flanker,United Kingdom,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Pontypool RFC,flanker,United Kingdom,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wigan Warriors,flanker,United Kingdom,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wales national rugby league team,flanker,United Kingdom,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Pontypool RFC,flanker,United Kingdom of Great Britain and Ireland,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wigan Warriors,flanker,United Kingdom of Great Britain and Ireland,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wales national rugby league team,flanker,United Kingdom of Great Britain and Ireland,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Dragons,winger,Wales,Will,,1987-03-30,,male,Cardiff,
Wales national rugby union team,winger,Wales,Will,,1987-03-30,,male,Cardiff,
Northampton Saints,winger,Wales,Will,,1987-03-30,,male,Cardiff,
Loughborough Students RUFC,winger,Wales,Will,,1987-03-30,,male,Cardiff,
Dragons,winger,United Kingdom,Will,,1987-03-30,,male,Cardiff,
Wales national rugby union team,winger,United Kingdom,Will,,1987-03-30,,male,Cardiff,
Northampton Saints,winger,United Kingdom,Will,,1987-03-30,,male,Cardiff,
Loughborough Students RUFC,winger,United Kingdom,Will,,1987-03-30,,male,Cardiff,
Wales national rugby union team,,Wales,Will,Parker,1873-01-01,1955-11-10,male,Swansea,
Swansea RFC,,Wales,Will,Parker,1873-01-01,1955-11-10,male,Swansea,
